"barcode","region","pseudotime","state","pxl_row_in_fullres","pxl_col_in_fullres"
"s_008um_00148_00473-1","mature_18",0.649126006582561,3,22197.2575477617,13436.134932158
"s_008um_00369_00767-1","mature_6",6.43796085881907,2,30772.2990248517,19942.561228703
"s_008um_00307_00705-1","mature_9",5.6600118250527,2,28966.026526251,18119.9663353946
"s_008um_00175_00793-1","mature_12",0.191411554831113,3,31558.901082791,14268.6545898538
"s_008um_00129_00498-1","mature_18",0.255177364073982,3,22931.4326688928,12883.4024615683
"s_008um_00271_00710-1","mature_11",0.266298692091272,3,29117.1199719015,17067.0981596863
"s_008um_00277_00717-1","mature_11",0.283464683580051,3,29321.1875347927,17243.612276345
"s_008um_00047_00634-1","mature_15",0.34940676400733,3,26922.5188461437,10501.6508624809
"s_008um_00233_00766-1","mature_25",3.05903679717989,2,30761.0412187145,15962.4437584824
"s_008um_00108_00419-1","mature_22",5.89876308802539,1,20622.1293671591,12258.3652400744
"s_008um_00460_00835-1","mature_2",0.291456471932847,3,32750.3013107843,22614.587078459
"s_008um_00067_00707-1","mature_13",0.162990283201964,3,29056.3170410958,11096.6316813507
"s_008um_00201_00753-1","mature_25",8.96299850791404,2,30384.8212458084,15024.2486392388
"s_008um_00128_00668-1","mature_12",3.19078590646943,2,27906.8627548199,12876.6479093173
"s_008um_00062_00557-1","mature_16",0.199550603070234,3,24667.0131317761,10930.4306590275
"s_008um_00351_00807-1","mature_1",0.713825016026667,3,31945.3086286441,19421.0874551389
"s_008um_00161_00789-1","mature_12",0.328587065169268,3,31443.691730322,13858.4158198488
"s_008um_00216_00713-1","mature_25",0.320079992495169,3,29212.1962845075,15457.9294288428
"s_008um_00086_00547-1","mature_16",3.347831067086,2,24371.1764481492,11631.4779843941
"s_008um_00110_00659-1","mature_12",0.243636582908725,3,27645.8470273216,12348.681687855
"s_008um_00133_00695-1","mature_12",0.249063383012279,3,28696.3892694688,13026.5489986678
"s_008um_00267_00721-1","mature_11",5.25670380796556,2,29439.574693046,16951.4938731998
"s_008um_00298_00777-1","mature_8",6.67086829119534,2,31074.3579290747,17866.1035902144
"s_008um_00299_00833-1","mature_1",0.319267494755732,3,32713.1039472195,17902.771942243
"s_008um_00209_00755-1","mature_25",0.270608837360033,3,30442.2939711841,15258.632390532
"s_008um_00380_00711-1","mature_9",4.30295978017459,1,29131.9617553819,20257.0710962886
"s_008um_00135_00685-1","mature_12",0.284427584022596,3,28403.4627000969,13083.7552508181
"s_008um_00191_00714-1","mature_26",3.21612663843977,1,29244.7707496743,14726.4382312809
"s_008um_00129_00612-1","mature_12",5.82259784107083,2,26267.8164411777,12898.4978786539
"s_008um_00254_00704-1","mature_11",6.55286472453528,2,28943.773698543,16568.8033846814
"s_008um_00152_00505-1","mature_18",0.223809024534776,3,23133.2623217479,13557.4329134139
"s_008um_00024_00532-1","mature_16",4.46933059181244,2,23940.3660192506,9815.02473693746
"s_008um_00047_00671-1","mature_14",0.3340616005515,3,28005.376006872,10506.5538409874
"s_008um_00469_00807-1","mature_3",0.855474378277747,3,31929.6773971662,22874.2673086019
"s_008um_00085_00710-1","mature_13",4.21311701154667,2,29141.7337796907,11623.8047498054
"s_008um_00109_00575-1","mature_16",6.54941772248032,2,25187.6012276916,12308.291520275
"s_008um_00092_00553-1","mature_16",0.263885471226827,3,24545.9833815898,11807.865558831
"s_008um_00035_00631-1","mature_15",0.683657549823349,3,26836.3061267861,10150.0672477863
"s_008um_00092_00566-1","mature_16",0.12123780152334,3,24926.4487467923,11809.5875405174
"s_008um_00039_00636-1","mature_15",9.73581277570411,2,26982.1095743039,10267.7919323369
"s_008um_00181_00783-1","mature_12",0.25304972660484,3,31265.4474188283,14442.9205918298
